search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Disability care software in australia or newzealand,The Medical Journal of Australia: Home,https://www.mja.com.au/,person_outline Login. Individual Login; Login · Create an account; Purchase options; Subscribe to the MJA · COVID-19 · Online first · Current issue · Archive ...,mja,"['PO Box 6090, KINGSTON ACT 2604', 'https://ama.com.au/login?destination=login-sso/mja/eI7wvUGrWQKBBE56h5H4yTPvpK3F5s']","['gemma.carey@unsw.edu.au', 'https://www.mja.com.au/journal/2020/213/3/national-disability-insurance-scheme-and-covid-19-collision-course']","['+61 2 6270 5400', 'https://ama.com.au/login?destination=login-sso/mja/eI7wvUGrWQKBBE56h5H4yTPvpK3F5s']","['j ferson med j aust', 'michael j bourke med j aust', 'med j aust', 'ian j constable med j aust', 'paul j beggs med j aust', 'raymond j mullins med j aust', 'alexander j thompson med j aust', 'malcolm j west med j aust', 'barrie j stokes med j aust', 'peter j mccluskey med j']","[['MATTHEW JOHN ADAMOS', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.m_j_a_australia_pty_ltd.0e5e5541fd0cb362a7e42f04b7dd1c0b.html']","['Chemical Wholesale', 'https://app.avention.com/company/f72a2c65-5b06-307d-9abe-e7914587b0c4#report/company_summary']","[' 1 May 2000', 'https://opencorporates.com/companies/au/092630889']","['9.3M', 'https://app.avention.com/company/f72a2c65-5b06-307d-9abe-e7914587b0c4#report/company_summary']",None,"['Australia', 'https://opencorporates.com/companies/au/092630889']","['16', 'https://app.avention.com/company/f72a2c65-5b06-307d-9abe-e7914587b0c4#report/company_summary']","['Private Independent', 'https://app.avention.com/company/f72a2c65-5b06-307d-9abe-e7914587b0c4#report/company_summary']",0.25,0.25,0.0,0.0,0.125
Care management software in australia or newzealand,InterSystems: Database Management & Healthcare ...,https://www.intersystems.com/,Discover InterSystems  an industry-leading vendor for database management  rapid application development and integration  and healthcare information systems.,intersystems,"['Level  12 , 383 Kent Street Sydney NSW 2000 Australia', 'https://www.intersystems.com/who-we-are/worldwide-offices/']","['ystems@bowespr.com', 'https://www.intersystems.com/news-events/news/news-item/rxmx-builds-chameleon-technology-platform-on-intersystems-iris-for-health-to-accelerate-the-safe-use-of-medicines-globally/']","['+61 403 352 232', 'https://www.intersystems.com/news-events/news/news-item/rxmx-builds-chameleon-technology-platform-on-intersystems-iris-for-health-to-accelerate-the-safe-use-of-medicines-globally/']","['intersystems iris intersystems', 'intersystems healthshare intersystems', 'intersystems caché', 'intersystems iris data platform intersystems', 'caché 5.0.x intersystems', 'uses intersystems caché database system', 'intersystems data platform', 'intersystems data platform technology', 'intersystems data management technology', 'aix intersystems bv caché']","[['Phillip T.', 'CEO'], 'https://en.wikipedia.org/wiki/InterSystems']","['IT - Software, Agriculture', 'from_classification_model']","[' 3 December 2018', 'https://opencorporates.com/companies/nz/7159313']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/7159313']","['19', 'None']","['NZ Unlimited Company', 'https://opencorporates.com/companies/nz/7159313']",0.25,0.25,0.0,0.0,0.125
Home care software in australia or newzealand,ANZAP - Australia and New Zealand Association of ...,https://www.anzap.com.au/,ANZAP - Australia and New Zealand Association of Psychotherapy,anzap,"['229 -231 Macquarie Street  SYDNEY NSW 2000', 'https://www.anzap.com.au/index.php/resources/find-a-supervisor']","['info@anzap.com.au', 'https://www.anzap.com.au/']","['+64 2102374069', 'https://www.anzap.com.au/index.php/resources/find-a-psychotherapist/new-zealand']","['anzap anzap', 'var prefix', 'var path', 'var', 'anzap meares', 'psychotherapy anzap', 'var addy07714fdbb156ac00a731ddb25ea607ab', 'var addyeb1ff6b382395148962154e6ec9a230d', 'var addy84a1d1becd151029eff32c6d9d4d1147', 'var addya87e9e17158ad6361f2da0f15ee19967']","[['Alexander Craigie MACFIE', ' director'], 'https://opencorporates.com/companies/nz/465227']","['Healthcare, Education', 'from_classification_model']","['17 March 1991', 'https://opencorporates.com/companies/nz/465227']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/465227']",None,"['Overseas Non-ASIC Company', 'https://opencorporates.com/companies/nz/465227']",0.25,0.25,0.0,0.0,0.125
Disability care software in australia or newzealand,Leecare Solutions: Home page,https://www.leecare.com.au/,Leecare Upgrades: Leecare’s latest Version No. of the Platinum 5 software suite: Software Version 5.67.0.66.3 If you would like to arrange an upgrade  please contact the Leecare Client Manager   Established 21yrs  – Proudly servicing Australia  New Zealand  United Kingdom  Ireland  Singapore  China and Zimbabwe,leecare,"['1005A MT ALEXANDER ROAD ESSENDON, VICTORIA, 3040 Australia', 'https://www.dnb.com/business-directory/company-profiles.leecare_solutions_pty_ltd.f1dae36870d041c7db3ddadc396cb98e.html']","['admin@leecare.com.au', 'https://www.leecare.com.au/index.php/2019/01/21/royal-commission-into-aged-care-quality-and-safety/']","['+61 3 93396805', 'https://www.leecare.com.au/index.php/bushfire/']","['aged care leecare solutions', 'quality aged care', 'care providers', 'care service options', 'aged care organization', 'aged care software', 'aged care industry', 'quality care', 'care teams', 'home care community services']","[['Caroline Lee', 'CEO'], 'https://au.linkedin.com/in/caroline-lee-1488a029']","['IT - Software, Real estate', 'from_classification_model']",None,"['$5.44 million USD', 'https://www.dnb.com/business-directory/company-profiles.leecare_solutions_pty_ltd.f1dae36870d041c7db3ddadc396cb98e.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.leecare_solutions_pty_ltd.f1dae36870d041c7db3ddadc396cb98e.html']",0.0,0.25,0.375,0.0,0.15625
NDIS claim payment software in australia or newzealand,TeamHEALTH: Home | Mental Health Services,https://www.teamhealth.asn.au/,TeamHEALTH aims to create community capacity for good mental health so that all people may lead a full and valued life.,teamhealth.asn.au,"['Level  1 , Building 4, 631 Stuart Highway, Berrimah, NT 0828', 'https://www.teamhealth.asn.au/contact-us']","['communications@teamhealth.asn.au', 'https://www.teamhealth.asn.au/news/2018/schizophrenia-awareness-week-2018']","['1800 682 288', 'https://www.teamhealth.asn.au/']","['mental health support services', 'mental health support', 'community mental health services', 'mental health support programs', 'mental health recovery support', 'quality mental health supports', 'mental health service provider', 'holistic mental health support', 'mainstream mental health services', 'mental health recovery']","[['Anne Gawen', 'CEO'], 'https://www.teamhealth.asn.au/news/2019/teamhealth-welcomes-a-new-ceo']","['Healthcare, Arts, entertainment and recreation', 'from_classification_model']",None,"['$5.79 million USD', 'https://www.dnb.com/business-directory/company-profiles.top_end_association_for_mental_health_inc.9c29c3962746ec1feb877591d00a99ce.html']",None,None,None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.top_end_association_for_mental_health_inc.9c29c3962746ec1feb877591d00a99ce.html']",1.0,0.25,0.0,0.0,0.3125
Community care software in australia or newzealand,Capterra: Find Business Software with reviews & price ...,https://www.capterra.co.nz/,Capterra helps millions of people find the best business software. With software reviews  ratings  infographics  and the most comprehensive list of business software.,capterra,None,None,None,"['other review software', 'software reviews', 'software user reviews', 'other software', 'software users', 'management software', 'management system software', 'customer relationship management software', 'software product directories', 'must use payroll software']","[['Martin Oxley ', 'Investor_Montoux'], 'from linkedin search google']","['IT - Software, Real estate', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Software for NDIS service providers in australia or newzealand,Jobs for Youth Talent Community,http://www.jobsforyouth.com.au/,Jobs for Youth - connecting young people to jobs in regions of Darebin  Moreland and Yarra.,jobsforyouth,"['11 /171 Fitzroy Street, St Kilda Victoria Australia 3182', 'https://www.jobsforyouth.com.au/terms']","['whatmanr@ramsayhealth.com.au', 'https://www.jobsforyouth.com.au/search-results?industryId=0&page=1&sort=date&daysToSearch=30']","['1300 900 100', 'https://www.jobsforyouth.com.au/search-results?industryId=0&page=1&sort=date&daysToSearch=30']","['uworkin jobs', 'job opportunities', 'share jobs', 'youth job options', 'approved jobs', 'good job search', 'uworkin storesall personal information', 'job category', 'shortlist jobs', 'other similar jobs']",None,"['Education, Arts, entertainment and recreation', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
NDIS claim payment software in australia or newzealand,AlayaCare: Home Care Software | Home Health Software,https://www.alayacare.com/,AlayaCare is a revolutionary cloud-based home care software platform for agencies looking for innovation and efficiencies across the entire agency.,alayacare,"['Level  1 , 895 Ann Street Fortitude Valley, QLD 4006', 'https://www.alayacare.com/contact']","['tsilvester@envigor.com.au', 'https://www.alayacare.com/blog/alayacare-and-aged-care-service-provider-envigor-partner-cdc']","['+61-1800-684-479', 'https://www.alayacare.com/contact']","['home care technology home care agencies', 'remote care scheduling home care', 'home care clients', 'home care software provider alayacare', 'home care software', 'client care', 'home care services', 'home care providers', 'alayacare test home care platform', 'home care workers']","[['Adrian Schauer', 'CEO'], 'https://www.alayacare.com/blog/alayacare-announces-new-general-manager-australia']","['Healthcare, IT - Software', 'from_classification_model']","['21 December 2018', 'https://opencorporates.com/companies/au/630227459']",None,None,"['Australia', 'https://opencorporates.com/companies/au/630227459']",None,"['Foreign Company (Overseas)', 'https://opencorporates.com/companies/au/630227459']",0.25,0.25,0.0,0.0,0.125
Community care software in australia or newzealand,CitySwitch Green Office program - Australia's Australia's ...,https://cityswitch.net.au/,CitySwitch Green Office program is Australia's flagship sustainability program for business. This partnership initiative is a growing network of forward thinking ...,cityswitch.net.au,None,"['shows@divcom.net.au', 'https://www.crunchbase.com/organization/diversified-communications-australia']","['1800 812 525', 'https://cityswitch.net.au/Contacts/Signatory-directory/Signatory-detail/name/202389e4-f675-e511-bd92-005056b532f8/state/SA/type/sectorid5E60267F-9742-45BE-A734-B0BF2B3F41CC?sort=stat']","['office energy efficiency', 'office energy use', 'cityswitch businesses', 'energy cityswitch cafe series -think', 'commercial office energy efficiency', 'energy efficiency', 'energy use', 'building energy efficiency', 'energy use data', 'energy costs']","[['Ben Thomas ', 'National Manager_ Environment ..._LinkedIn'], 'from linkedin search google']","[['AdvertisingDigital MediaEventsMarketingMedia and EntertainmentPublishing'], 'https://www.crunchbase.com/organization/diversified-communications-australia']","['Jan 1, 1982', 'https://www.crunchbase.com/organization/diversified-communications-australia']",None,None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/diversified-communications-australia']",None,"['Private', 'https://www.crunchbase.com/organization/diversified-communications-australia']",0.0,0.25,0.0,0.0,0.0625
Dental clinic software in australia or newzealand,Australian Healthcare & Hospitals Association | The voice of ...,https://ahha.asn.au/,The voice of public healthcare,ahha.asn.au,"['123 Pitt Street, SYDNEY, New South Wales 2000', 'https://ahha.asn.au/node/863']","['ommunications@ahha.asn.au', 'https://ahha.asn.au/online-training-portal']","['+61 2 6162 0780', 'https://ahha.asn.au/node/801']","['health care profesionals', 'sustainable universal health care', 'health services', 'community health services', 'health care', 'health organisations', 'health professionals', 'national health programs', 'quality health outcomes', 'health services leaders']","[['Alison Verhoeven', 'CEO'], 'https://ahha.asn.au/about-ahha/ahha-staff/alison-verhoeven']","[['AssociationHealth Care'], 'https://www.crunchbase.com/organization/australian-healthcare-and-hospitals-association']","['18 January 2019', 'https://opencorporates.com/companies/au/631087039']",None,None,"['Australia', 'https://opencorporates.com/companies/au/631087039']",None,"['Private', 'https://www.crunchbase.com/organization/australian-healthcare-and-hospitals-association']",0.25,0.25,0.0,0.0,0.125
NDIS software in australia or newzealand,Allied Health Professions Australia (AHPA),https://ahpa.com.au/,Allied Health Professions Australia (AHPA) is the recognised national voice for allied health professions in Australia  representing and advocating for the role of ...,ahpa,"['Level 8/350 Collins Street, Melbourne, Victoria 3000', 'https://ahpa.com.au/contact-us/']","['admin@ahpa.com.au', 'https://www.crunchbase.com/organization/allied-health-professionals-australia']","['1800 035544', 'https://ndisregistrationsupport.ahpa.com.au/faqs/']","['allied health services providers', 'allied health care', 'allied health aged care services', 'health services', 'important allied health services', 'allied health services', 'different allied health services', 'allied health services letter', 'allied health practitioners self regulating health professions digital health', 'health service providers']","[['Ashley Leek ', 'Administrative Officer_ Hospital ..._LinkedIn'], 'from linkedin search google']","[['AssociationGovernmentHealth CareInformation Technology'], 'https://www.crunchbase.com/organization/allied-health-professionals-australia']",None,None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/allied-health-professionals-australia']",0.25,0.25,0.0,0.0,0.125
NDIS claim payment software in australia or newzealand,EveryHuman | Adaptive Clothing NDIS Approved,https://everyhuman.com.au/,We are here to help a movement. The future is inclusive. Our clothes empower and inspire people to be proud of who they are - inside and out. Our clothes are designed by people with lived experience in the challenges of finding  using and loving adaptive clothing.,everyhuman,"['Level G, St Leonards NSW 2065 Australia', 'https://everyhuman.com.au/policies/privacy-policy']","['media@everyhuman.com.au', 'https://everyhuman.com.au/pages/contact']","['+612 8437 1799', 'https://everyhuman.com.au/pages/contact']","['tommy adaptive', 'aud made', 'best adaptive clothing hickies', 'tommy adaptive seated classic chino', 'tommy crew tee', 'tommy flag crew tee', 'adaptive clothing', 'tommy stripe', 'slick chicks tommy stripe crew tee', 'ndis camp shorts tommy flag crew tee']","[['Matthew Skerritt', 'founder'], 'https://au.linkedin.com/in/matthewskerritt']","['Manufacturing, Agriculture', 'from_classification_model']",None,"['$1.10 million USD', 'https://www.dnb.com/business-directory/company-profiles.every_human_adaptive_pty_limited.8349772b14434270fefcc55cc2c7dafa.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.every_human_adaptive_pty_limited.8349772b14434270fefcc55cc2c7dafa.html']",1.0,0.25,0.75,0.0,0.5
NDIS software in australia or newzealand,Community Data Solutions – Affordable case management ...,https://communityds.com.au/,Aug 27  2020 - Community Business Intelligence ... Community Data Solutions has the privilege of working with clients and ... enquiries@communityds.com.au.,communityds,"['214 Greenhill Road Eastwood, South Australia Australia', 'https://communityds.com.au/']","['enquiries@communityds.com.au', 'https://communityds.com.au/']","['1800 503 891', 'https://communityds.com.au/2018/05/30/whole-of-government-outcomes-challenge-and-communityci/']","['community data solutions crm', 'community data solutions', 'other features community data solutions', 'community data solutions customers', 'community data solutions crm offering', 'community data solutions software deputy error', 'community data solutions day', 'community data solutions password', 'community data solutions director', 'questions community data solutions']","[['David Crosbie', 'CEO'], 'http://www.communitycouncil.com.au/content/new-ceo-david-crosbie']","['IT - Software, Finance and insurance', 'from_classification_model']","[' 3 May 2016', 'https://opencorporates.com/companies/au/612189545']","['$1.20 billion USD', 'https://www.dnb.com/business-directory/company-profiles.unitingcare_community.1ea3d0458cc57746.html']",None,"['Australia', 'https://opencorporates.com/companies/au/612189545']",None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.unitingcare_community.1ea3d0458cc57746.html']",0.25,0.25,0.0,0.0,0.125
Dental practice management software in australia or newzealand,RANZCR: Home,https://www.ranzcr.com/,RANZCR drives optimum health outcomes by leading  training and sustaining our professionals in radiation oncology and clinical radiology. More about the ...,ranzcr,"['Level  9 , 51 Druitt Street Sydney NSW 2000 Australia', 'https://www.ranzcr.com/']","['ranzcr@ranzcr.edu.au', 'https://www.crunchbase.com/organization/royal-australian-and-new-zealand-college-of-radiology']","['+61 2 9802 2074', 'https://www.ranzcr.com/college/member-rewards']",None,"[['Lance James Lawler', 'Director'], 'https://app.avention.com/company/f1752665-d3be-3a82-ad31-14336f81db75#report/company_summary']","['Associations and Organizations', 'https://app.avention.com/company/f1752665-d3be-3a82-ad31-14336f81db75#report/company_summary']","['10 April 2019', 'https://opencorporates.com/companies/nz/7394276']","['12M', 'https://app.avention.com/company/f1752665-d3be-3a82-ad31-14336f81db75#report/company_summary']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/royal-australian-and-new-zealand-college-of-radiology']","['60', 'https://app.avention.com/company/f1752665-d3be-3a82-ad31-14336f81db75#report/company_summary']","['Private Parent, Headquarters', 'https://app.avention.com/company/f1752665-d3be-3a82-ad31-14336f81db75#report/company_summary']",0.625,0.25,0.0,0.0,0.21875
NDIS software in australia or newzealand,Calxa Online,https://cloud.calxa.com/,Sign in. Reset password. Join Calxa. Sign in to Calxa Online. Email Address. Password. SIGN IN. Help & Support. •. Privacy Policy. •. Terms of Use.,calxa,"['711 FLINDERS STREET TOWNSVILLE CITY, QUEENSLAND, 4810 Australia', 'https://www.dnb.com/business-directory/company-profiles.calxa_australia_pty_ltd.0f1add7e40725ccb1fc1c71e353f3935.html']",None,"['1800 733 149', ['Calxa Australia, phone', 'knowledge_panel']]",None,"[['Mick Devine', 'CEO'], 'https://au.linkedin.com/in/mickdevine']","['Services - professional, scientific, and technical, Utilities', 'from_classification_model']",None,"['$1.76 million USD', 'https://www.dnb.com/business-directory/company-profiles.calxa_australia_pty_ltd.0f1add7e40725ccb1fc1c71e353f3935.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.calxa_australia_pty_ltd.0f1add7e40725ccb1fc1c71e353f3935.html']",0.0,0.0,0.375,0.0,0.09375
Home care software in australia or newzealand,PowerHealth Solutions | Hospital Costing_ Billing & Patient ...,https://www.powerhealthsolutions.com/,"PowerHealth Prepares Your Organisation For The Future. We help our healthcare clients deliver the highest quality medical care at the lowest operational costs. 
",powerhealthsolutions,"['1 /145 South Terrace, Adelaide, SA 5000', 'https://www.powerhealthsolutions.com/office-sites']","['bec.waters@powerhealthsolutions.com', 'https://www.powerhealthsolutions.com/news/2020/Covidcosting']","['+61 8 8410 6404', 'https://www.powerhealthsolutions.com/privacy']","['powerhealth solutions', 'software company powerhealth solutions', 'powerhealth solutions pbrc', 'australian healthcare vendor powerhealth solutions', 'powerhealth solutions newsletter', 'powerhealth solutions staff', 'powerhealth solutions wins', 'powerhealth solutions customers', 'australian healthcare software vendor powerhealth solutions', 'powerhealth solutions uk']","[['PATRICK JAMES POWER', 'Managing Director'], 'https://www.dnb.com/business-directory/company-profiles.power_solutions_dtd_pty_ltd.b8c654a258543acc854cdd420647f1fc.html']","['IT - Software, Construction', 'from_classification_model']","['18 January 2011', 'https://opencorporates.com/companies/nz/3240328']","['$13.02 million USD', 'https://www.dnb.com/business-directory/company-profiles.power_solutions_dtd_pty_ltd.b8c654a258543acc854cdd420647f1fc.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/3240328']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.power_solutions_dtd_pty_ltd.b8c654a258543acc854cdd420647f1fc.html']",0.625,0.25,0.0,0.0,0.21875
Community care software in australia or newzealand,HelloCare: Aged Care News & Dementia,https://hellocaremail.com.au/,HelloCare is an online magazine delivering quality news for the aged care  home care and retirement village industry.,hellocaremail,None,"['liz@lizfoster.com.au', 'https://hellocaremail.com.au/spirituality-caring-frail-older-people-incorporated-new-guide/']","['1300 208 582', 'https://hellocaremail.com.au/australians-seeking-advice-planning-future-care/']","['aged care residents', 'aged care staff', 'aged care services', 'many aged care residents', 'many aged care staff', 'aged care system', 'aged care communities', 'quality aged care', 'aged care funding', 'other aged care facilities']","[['Gareth Mahon', 'CEO'], 'https://hellocaremail.com.au/virtual-coffee-gareth-mahon-ceo-careside/']","['Healthcare, Education', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
NDIS software in australia or newzealand,Legalwise Seminars | Legal CPD | Accounting CPD | Australia,https://legalwiseseminars.com.au/,Legalwise Seminars offers legal CPD seminars and conferences for lawyers  solicitors and barristers and courses featuring Law for Non-Lawyers. Earn your law CPD with the best content and best speakers.,legalwiseseminars,"['Level  2 , 97 Grafton Street Bondi Junction NSW 2022 Australia', 'https://legalwiseseminars.com.au/contact/']",None,"['+64 9363 3322', 'https://legalwiseseminars.com.au/privacy-policy/']","['new zealand law', 'law society new zealand', 'family law issues', 'will applications', 'property law', 'australia pty ltd', 'other law firms', 'business issues', 'property law disputes', 'family law matters']","[['Sara Heard', 'CEO'], 'https://au.linkedin.com/in/sara-heard-a291124b']","['IT - Software, Real estate', 'from_classification_model']","[' 6 November 2002', 'https://opencorporates.com/companies/au/102742843']","['$777,843 USD', 'https://www.dnb.com/business-directory/company-profiles.legalwise_seminars_pty_ltd.6c2a8d073796d6b41b6d21cc2d077d8f.html']",None,"['Australia', 'https://opencorporates.com/companies/au/102742843']",None,"['Proprietorship Parent', 'https://www.dnb.com/business-directory/company-profiles.legalwise_seminars_pty_ltd.6c2a8d073796d6b41b6d21cc2d077d8f.html']",0.625,0.25,0.0,0.0,0.21875
NDIS claim payment software in australia or newzealand,Leap in! Plan Management | Registered NDIS Plan Manager,https://www.leapin.com.au/,Achieve your goals  plan for the future and budget with confidence with Leap in! Plan Management  Australia's leading NDIS plan manager.,leapin,"['110 Writing to the CEO of the NDIA at GPO Box 700, Canberra ACT 2601', 'https://www.leapin.com.au/ndis-resources/faq/']","['invoices@leapin.com.au', 'https://www.leapin.com.au/ndis-resources/provider_faqs/']","['1800 551 800', 'https://www.leapin.com.au/priority-home-grocery-delivery-ndis-recipients-covid19/']","['ndis supports', 'ndis services', 'ndis plan management', 'ndis plan', 'ndis budgets', 'ndis plan meetings', 'ndis plan budget categories', 'ndis participants', 'new ndis', 'ndis plan review']","[['Donna Marie Broadley', 'CEO'], 'https://www.leap.com.au/leadership/']","['Healthcare, Education', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
NDIS software in australia or newzealand,MOA Benchmarking: Home,https://www.moa.com.au/,MOA supports our users with a range of tools designed to facilitate accreditation and best practice care. Each set of tools are carefully tailored to the type of care ...,moa,"['QUEENS PARK2022New South WalesAustralia', 'https://opencorporates.com/companies/au/134894910']","['admin@moabenchmarking.co.nz', 'https://www.moa.com.au/moa-advanced-platform-customisation-options/']","['1300 760 209', 'https://www.moa.com.au/privacy-policy-2/']","['data collection moa', 'other service providers', 'moa member', 'moa benchmarking', 'care services', 'quality tools', 'moa advanced platform customisation options moa insights', 'other services', 'services', 'more moa']","[['Steve Collier', 'Managing_Director'], 'https://www.moa.com.au/meet-the-team/']","['Real estate, Healthcare', 'from_classification_model']","['13 January 2009', 'https://opencorporates.com/companies/au/134894910']",None,None,"['Australia', 'https://opencorporates.com/companies/au/134894910']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/134894910']",0.0,0.25,0.0,0.0,0.0625
NDIS claim payment software in australia or newzealand,Halaxy - Helping You Navigate the Complex Galaxy of Health,https://www.halaxy.com/,Run a better practice and take control of your health on the leading global health platform built for both practitioners and patients anywhere in the world.,halaxy,"['41 BARRATT AVENUE CAMDEN SOUTH, NEW SOUTH WALES, 2570 Australia', 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_jakeman_clark_family_trust.e8b7f63fa7537a38f0755377d9cd0d9b.html']","['info@gxy.com', 'https://www.crunchbase.com/organization/galaxy-resources']","['1300 789 978', 'https://www.halaxy.com/article/urgent-help']","['halaxy services', 'halaxy software', 'halaxy', 'halaxy online forms', 'halaxy credits', 'halaxy reduce', 'halaxy calendar', 'halaxy users', 'halaxy credit', 'join halaxy']","[['Simon Hay', 'CEO'], 'https://www.reuters.com/article/galaxy-rsrcs-moves-ceo-idUSL3N21L4G6']","[['MineralMining'], 'https://www.crunchbase.com/organization/galaxy-resources']","['Jan 1, 1996', 'https://www.crunchbase.com/organization/galaxy-resources']","['$115,825 USD', 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_jakeman_clark_family_trust.e8b7f63fa7537a38f0755377d9cd0d9b.html']",None,"[' Applecross, Western Australia, Australia', 'https://www.crunchbase.com/organization/galaxy-resources']",None,"['Public', 'https://www.crunchbase.com/organization/galaxy-resources']",0.0,0.25,0.0,0.0,0.0625
Care management software in australia or newzealand,Veolia: Référence mondiale de la gestion optimisée des ...,https://www.veolia.com/fr,Avec près de 179 000 salariés  le Groupe conçoit et déploie des solutions pour la gestion de l’eau  des déchets et de l’énergie,veolia,"['35 Grand Avenue Camellia, New South Wales, 2142 Australia', 'https://app.avention.com/company/cf31408f-54f1-37d1-845a-d969a52df7f1#report/company_summary']",None,"['+61-296845832', 'https://app.avention.com/company/cf31408f-54f1-37d1-845a-d969a52df7f1#report/company_summary']","['de la fragilité de la', 'de la qualité de', 'de réduction de l’empreinte carbone de la', 'de la qualité de l’air intérieur de son', 'de la biodiversité de la ville', 'de gestion de', 'ministre de la promotion de la', 'de la qualité de l’air', 'de produire de', 'de près de']","[['Danny Conlon', 'CEO'], 'https://www.veolia.com/anz/newsroom/veolia-anz-appoints-danny-conlon-ceo-and-managing-director']","['Waste Management', 'https://app.avention.com/company/cf31408f-54f1-37d1-845a-d969a52df7f1#report/company_summary']","[' 2 June 1995', 'https://opencorporates.com/companies/au/069471334']","['937M', 'https://app.avention.com/company/cf31408f-54f1-37d1-845a-d969a52df7f1#report/company_summary']",None,"['Australia', 'https://opencorporates.com/companies/au/069471334']","['3.5k', 'https://app.avention.com/company/cf31408f-54f1-37d1-845a-d969a52df7f1#report/company_summary']","['Private Subsidiary, Headquarters', 'https://app.avention.com/company/cf31408f-54f1-37d1-845a-d969a52df7f1#report/company_summary']",0.0,0.0,0.25,0.0,0.0625
NDIS claim payment software in australia or newzealand,The Australian & New Zealand Mental Health Association,https://anzmh.asn.au/,The Australian & New Zealand Mental Health Association is a non-government  non-for-profit organisation dedicated to advancing the field of mental health.,anzmh.asn.au,"['3 -19 years of age.  Mantra Legends Hotel, Surfers Paradise QLD 4217', 'https://anzmh.asn.au/']","['info@wsaa.asn.au', 'https://www.crunchbase.com/organization/water-services-association-of-australia']","['+61 7 5502 2068', 'https://anzmh.asn.au/']","['good mental health', 'mental health illness', 'mental health problems', 'mental health help', 'mental health disorders', 'mental health practice', 'mental health needs', 'mental health conditions', 'mental health professionals', 'mental health training']","[['Michelle Barton ', 'Education Manager_Australian and New ...'], 'from linkedin search google']","[['AssociationFitnessFood and BeverageHealth Care'], 'https://www.crunchbase.com/organization/water-services-association-of-australia']","['1998', 'https://www.crunchbase.com/organization/water-services-association-of-australia']",None,None,"[' Docklands, Victoria, Australia', 'https://www.crunchbase.com/organization/water-services-association-of-australia']",None,"['Private', 'https://www.crunchbase.com/organization/water-services-association-of-australia']",0.25,0.25,0.0,0.0,0.125
Community care software in australia or newzealand,MedRecruit: Locum and Permanent Doctor Jobs,https://www.medrecruit.com/,MedRecruit is a medical recruitment agency offering locum and permanent doctor jobs throughout Australia & New Zealand. Our team of recruitment specialists have the tools to search the entire medical jobs market for doctors  on your behalf. Find your ideal doctor position today!,medrecruit,"['U B 69 LAVER DR ROBINA, QUEENSLAND, 4226 Australia', 'https://www.dnb.com/business-directory/company-profiles.medrecruit_limited.7a22f820f547dec390042c7328334fcd.html']","['tina.barclay@medrecruit.com', 'https://www.medrecruit.com/blog/day-life-general-practitioner-jobs/']","['+64 3 4412470', 'https://www.medrecruit.com/privacy-policy/']","['new doctor jobs', 'medical doctors', 'more doctor jobs', 'permanent doctor jobs', 'available doctor jobs', 'good doctors', 'locum doctors', 'new doctors', 'doctor recruitment agency', 'permanent doctor job opportunities']","[['Sam Bolton HAZLEDINE', ' director'], 'https://opencorporates.com/companies/nz/5732610']","['Healthcare, Education', 'from_classification_model']","['22 June 2015', 'https://opencorporates.com/companies/nz/5732610']","['$145,811 USD', 'https://www.dnb.com/business-directory/company-profiles.medrecruit_limited.7a22f820f547dec390042c7328334fcd.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/5732610']",None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.medrecruit_limited.7a22f820f547dec390042c7328334fcd.html']",0.0,0.25,0.0,0.0,0.0625
