search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
OHS software australia or newzealand,ASSA - Advanced Safety Systems Australia and New Zealand,http://www.assa.com.au/,ASSA - Advanced Safety Systems Australia and New Zealand.,assa,"['1300 131 014 Auckland 9887', 'http://www.assa.com.au/terms']","['tess.barone@placard.com.au', 'https://www.crunchbase.com/organization/placard']","['+61 7 3275 7922', 'http://www.assa.com.au/contact']","['personal information', 'information', 'version controlled assa document management', 'more information', 'payment information', 'transaction information', 'sensitive information', 'nz already trust assa', 'assa group pty ltd', 'assa services']","[['Simon Alexander Ellis', 'Director'], 'https://app.avention.com/company/bd5b2921-0e1c-3bbb-88f0-a3cfa58c321e#report/company_summary']","[['ManufacturingPersonalizationPlastics and Rubber Manufacturing'], 'https://www.crunchbase.com/organization/placard']","['1987', 'https://www.crunchbase.com/organization/placard']","['225M', 'https://app.avention.com/company/bd5b2921-0e1c-3bbb-88f0-a3cfa58c321e#report/company_summary']",None,"[' Bayswater, Victoria, Australia', 'https://www.crunchbase.com/organization/placard']","['647', 'https://app.avention.com/company/bd5b2921-0e1c-3bbb-88f0-a3cfa58c321e#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/placard']",0.25,0.25,0.0,0.0,0.125
Workplace risk software in australia or newzealand,iSafe Risk Management,https://www.isafe.net.au/,The iSafe Risk Management program undertakes health and safety ... In each video see APSCo Australia Managing Director and founder of the iSafe Program  ...,isafe.net.au,"['WAGGA WAGGA2650New South WalesAustralia', 'https://opencorporates.com/companies/au/628183620']","['info@safetyculture.io', 'https://www.crunchbase.com/organization/safetyculture']","['+61 3 9555 3855', 'https://www.isafe.net.au/']","['safety risks', 'work health safety', 'isafe program participants labour hire agency', 'safety laws', 'isafe risk management program', 'safety', 'safety controls', 'host client sites', 'safety levels', 'safety situations']","[['Julie Mills', 'founder'], 'https://www.isafe.net.au/']","[['AppsCollaborationDeveloper PlatformiOSPublic SafetySoftware'], 'https://www.crunchbase.com/organization/safetyculture']","['Mar 12, 2004', 'https://www.crunchbase.com/organization/safetyculture']",None,None,"[' Townsville, Queensland, Australia', 'https://www.crunchbase.com/organization/safetyculture']",None,"['Private', 'https://www.crunchbase.com/organization/safetyculture']",0.0,0.25,0.0,0.0,0.0625
Dental management software in australia or newzealand,GetApp,https://www.getapp.co.nz/,... small business software. GetApp has software offers  SaaS and Cloud Apps  independent evaluations and reviews. ... info@getapp.co.nz. Select your country:,getapp,None,None,None,"['user reviews agile project management', 'software user reviews', 'software reviews', 'project team', 'easy user reviews', 'team information', 'submitted user reviews', 'other information', 'software users', 'user reviews']","[['Bane Hunter', 'CEO'], 'https://www.getswift.co/team/']","['IT - Software, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Risk management software in australia or newzealand,Wellnomics | Ergonomics software,https://wellnomics.com/,We create software that applies the science of ergonomics to improve employee wellbeing and organizational performance.,wellnomics,"['114 Montreal Street , Sydenham Christchurch, 8023 New Zealand', 'https://app.avention.com/company/358630e9-f117-3d6b-8f60-ad390c8602dc#report/company_summary']","['sales@wellnomics.com', 'https://wellnomics.com/workpace-download-registered-version/']","['+64 (3) 365 3040', 'https://wellnomics.com/solutions/']","['office ergonomics software useful office ergonomics related resources', 'office ergonomics software', 'office ergonomics training', 'office ergonomics', 'home office ergonomics', 'remote office ergonomics training', 'office ergonomics guidelines', 'ergonomics human factors', 'related office ergonomics', 'wellnomics workplace ergonomic assessment']","[['Dr Kevin Taylor', 'CEO'], 'https://www.scoop.co.nz/stories/BU1311/S00512/wellnomics-tells-25000-staff-to-take-a-break.htm']","['Publishing', 'https://app.avention.com/company/358630e9-f117-3d6b-8f60-ad390c8602dc#report/company_summary']","['17 February 1997', 'https://opencorporates.com/companies/nz/844353']","['2.2M', 'https://app.avention.com/company/358630e9-f117-3d6b-8f60-ad390c8602dc#report/company_summary']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/844353']","['11', 'https://app.avention.com/company/358630e9-f117-3d6b-8f60-ad390c8602dc#report/company_summary']","['Private Independent', 'https://app.avention.com/company/358630e9-f117-3d6b-8f60-ad390c8602dc#report/company_summary']",0.75,0.25,0.25,0.0,0.3125
Compliance management programs australia OR new zealand,SAP Litmos LMS: Learning Management System | eLearning ...,https://www.litmos.com/,Deliver training anytime  anywhere with our easy to use learning management system  pre-built courses  and e-learning solutions. Start a free trial today.,litmos,"['Suite  115 Vancouver, WA 9868', 'https://www.litmos.com/en-AU/contact-us']","['partners@litmos.com', 'https://www.litmos.com/en-AU/reviews']","['+61 1300 133 151', 'https://www.litmos.com/en-AU/reviews']","['sap litmos training e sap litmos training content', 'sap litmos training—と強固なコースライブラリー—sap litmos training', 'sap litmos', 'sap litmos training', 'sap litmos training lms', 'sap litmos processing', 'sap litmos training content', 'perché sap litmos', 'germania sap litmos', 'sap litmos porque']","[['Anna Kelly ', 'General Manager_Litmos by SAP'], 'from linkedin search google']","['IT - Software, Mining, oil and gas', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
risk management programs australia OR new zealand,Chartered Accountants Australia & New Zealand | CA ANZ,https://www.charteredaccountantsanz.com/,Chartered Accountants Australia & New Zealand (CA ANZ) represents over 120000 members in Australia  New Zealand & overseas. CA ANZ creates prosperity ...,charteredaccountantsanz,"['33 Erskine Street, Sydney, NSW 2000 Australia', 'https://www.charteredaccountantsanz.com/terms-of-use']","['privacy@charteredaccountantsanz.com', 'https://www.charteredaccountantsanz.com/privacy-policy']","['1800 688 582', 'https://www.charteredaccountantsanz.com/member-services/member-benefits/aon-australia']","['ca anz ca program', 'chartered accountants anz ca anz', 'covid-19 ca program overview ca program', 'contact ca anz', 'ca anz events', 'ca anz assurance', 'ca anz ip', 'harmless ca anz', 'portability ca anz', 'landlords ca anz']","[['Sunny Sirjahan Sirabas ', 'General Manager ..._LinkedIn'], 'from linkedin search google']","[['Association'], 'https://www.crunchbase.com/organization/chartered-accountants-australia-and-new-zealand']",None,None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/chartered-accountants-australia-and-new-zealand']",0.25,0.25,0.0,0.0,0.125
Risk management software australia,Capterra: Find Business Software with reviews & price ...,https://www.capterra.com.au/,Capterra helps millions of people find the best business software. With software reviews  ratings  infographics  and the most comprehensive list of business ...,capterra,"['Level  18 40 Mount Street North Sydney NSW 2060 Australia', 'https://www.capterra.com.au/']","['info@capterra.com', 'https://www.capterra.com/p/127236/SkyPrep/']",None,"['software product reviews', 'software reviews', 'software user reviews', 'software users', 'seo software', 'best seo software', 'product review sites', 'user reviews', 'business reviews', 'software search tools']","[['Capterra', 'director'], 'from_website']","['Finance and insurance, IT - Software', 'from_classification_model']","['1999', 'https://www.owler.com/company/capterra']",None,None,None,None,None,0.25,0.0,0.25,0.0,0.125
Governance risk software in australia or newzealand,Sword GRC | Risk_ Compliance_ Audit & Policy Management ...,https://sword-grc.com/,Sword GRC offers a full platform of or risk  compliance  governance  audit & policy management software - plus the methodology  resources  and support.,sword-grc,"['Level  14 333 Collins Street Melbourne, VIC 3000 AUSTRALIA', 'https://sword-grc.com/contact/']","['info@sword-grc.com', 'https://sword-grc.com/careers/']","['+61 (3) 9988 6964', 'https://sword-grc.com/customer-support/']","['risk sword grc', 'business risk management', 'project risk management', 'risk management solutions', 'project risk management sword grc logos nasa sword grc', 'risk management processes', 'risk management information', 'risk management systems', 'enterprise risk management', 'risk management approach']","[['George Cardamis', 'Chief Executive Officer'], 'https://app.avention.com/company/4df4c38b-9efe-3f10-a393-209ba33bc8b5#report/company_summary']","['Computer System Design Services', 'https://app.avention.com/company/4df4c38b-9efe-3f10-a393-209ba33bc8b5#report/company_summary']",None,"['3.4M', 'https://app.avention.com/company/4df4c38b-9efe-3f10-a393-209ba33bc8b5#report/company_summary']",None,None,"['18', 'https://app.avention.com/company/4df4c38b-9efe-3f10-a393-209ba33bc8b5#report/company_summary']","['Private Subsidiary', 'https://app.avention.com/company/4df4c38b-9efe-3f10-a393-209ba33bc8b5#report/company_summary']",0.25,0.25,0.0,0.0,0.125
Regulatory compliance software in australia or newzealand,Contract Research Organisation CRO Australia CRO Contract ...,https://mobiusmedical.com.au/,Australia's favorite CRO providing quality full service clinical trial support to local and global medical device  pharma and biotech companies since 2008.,mobiusmedical,"['275 Alfred Street North Sydney NSW 2060 Australia', 'https://mobiusmedical.com.au/accurate-reporting-of-randomised-clinical-trials/']","['info@mobiusmedical.com.au', 'https://mobiusmedical.com.au/accurate-reporting-of-randomised-clinical-trials/']","['+61 3 8595 0970', 'https://mobiusmedical.com.au/contact/']","['quality clinical trial data', 'clinical trial data management', 'clinical trial research', 'clinical trial management', 'more clinical trials', 'clinical trial design', 'clinical trial notification', 'clinical trials governance', 'human clinical trials', 'clinical trial agreements']","[['Suzanne Williams ', 'Co_founder and Clinical Director'], 'None']","['IT - Software, Agriculture', 'from_classification_model']",None,"['$409,887 USD', 'https://www.dnb.com/business-directory/company-profiles.mobius_medical_pty_ltd.bcaa25488ffb217e.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.mobius_medical_pty_ltd.bcaa25488ffb217e.html']",1.0,0.25,0.75,0.0,0.5
Incident response software in australia or newzealand,Insurance from AIG in Australia,https://www.aig.com.au/,Australia | Worldwide >. Privacy Policy | Terms of Use. Copyright © 2020 AIG Australia Ltd. Product descriptions on this website are intended only as a guide to ...,aig,"['L 19 2 Park St Sydney, New South Wales, 2000 Australia', 'https://app.avention.com/company/32a32bf6-8daa-30cc-bc5c-d513d1c177c0#report/company_summary']","['recruitment@iag.com.au', 'https://www.crunchbase.com/organization/insurance-australia-group-iag']","['1300 030 886', ['AIG, phone', 'knowledge_panel']]","['aig aig', 'aig australia travel insurance', 'australia aig australia', 'aig travel insurance', 'aig insurance', 'aig travel services', 'aig australia travel insurance update', 'aig policies', 'aig claims', 'aig customer service']","[['Nigel Fitzgerald', 'CEO'], 'https://au.linkedin.com/in/nigel-fitzgerald-30a7728b']","[['Financial ServicesInsurance'], 'https://www.crunchbase.com/organization/insurance-australia-group-iag']","['1925', 'https://www.crunchbase.com/organization/insurance-australia-group-iag']","['980M', 'https://app.avention.com/company/32a32bf6-8daa-30cc-bc5c-d513d1c177c0#report/company_summary']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/insurance-australia-group-iag']","['412', 'https://app.avention.com/company/32a32bf6-8daa-30cc-bc5c-d513d1c177c0#report/company_summary']","['Private Subsidiary', 'https://app.avention.com/company/32a32bf6-8daa-30cc-bc5c-d513d1c177c0#report/company_summary']",0.5,0.1875,0.1875,0.0,0.21875
Regulatory compliance software in australia or newzealand,Star Micronics Australia,https://starmicronics.com.au/,Jul 16  2020 - Star Micronics Australia is proud to announce the world's first Apple certified AirPrint POS printer – the TSP654II AirPrint – providing easy ...,starmicronics,"['U A 15 Lagana Pl Wetherill Park, NEW SOUTH WALES, 2164 Australia', 'https://www.dnb.com/business-directory/company-profiles.star_micronics_pty_ltd.2c238651f2abc1ff6fd3227b9f94bf7a.html']","['admin@starmicronics.com.au', 'https://shop.starmicronics.com.au/Privacy']","['+61-2-87881500', 'https://shop.starmicronics.com.au/Privacy']","['star matrix printers', 'star printer mechanisms', 'star micronics', 'star cloud services star', 'kiosk printer star micronics australia', 'star micronics australia', 'receipt printer', 'star micronics service', 'fast receipt printer', 'star micronics premises']","[['Graeme MCLENNAN', ' director'], 'https://opencorporates.com/companies/nz/203467']","['IT - Software, Finance and insurance', 'from_classification_model']","['19 December 1983', 'https://opencorporates.com/companies/nz/203467']","['$2.46 million USD', 'https://www.dnb.com/business-directory/company-profiles.star_micronics_pty_ltd.2c238651f2abc1ff6fd3227b9f94bf7a.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/203467']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.star_micronics_pty_ltd.2c238651f2abc1ff6fd3227b9f94bf7a.html']",0.75,0.25,0.375,0.0,0.34375
Incident management software australia or newzealand,The Patient Safety Company,https://www.patientsafety.com/,The Patient Safety Company offers a flexible solution to register and analyze incidents  automate follow-up processes and to manage your improvement plans.,patientsafety,"['Level 3, 54 Jephson Street Toowong QLD 4066 Australia', 'https://www.patientsafety.com/en/partners/cgov-australia']","['theen.moy@powerhealthsolutions.com', 'https://www.crunchbase.com/organization/powerhealth-solutions']","['+61 (07) 3211 4444', 'https://www.patientsafety.com/en/partners/cgov-australia']","['van de basisoorzaken van', 'basis van de uitkomsten van de zorg', 'van de uitkomsten van de online enquête', 'de veiligheid van de zorg', 'de veiligheid van de patiënt', 'de ogen van de patiënt', 'de meldingsbereidheid van de medewerkers', 'de leden van de commissie', 'de zichtbaarheid van de commissie', 'de namen van de betrokkenen']","[['Jutta Thwaites ', 'Innovation and Service ..._LinkedIn'], 'from linkedin search google']","[['Health CareSoftware'], 'https://www.crunchbase.com/organization/powerhealth-solutions']","['1995', 'https://www.crunchbase.com/organization/powerhealth-solutions']",None,None,"[' Adelaide, South Australia, Australia', 'https://www.crunchbase.com/organization/powerhealth-solutions']",None,"['Private', 'https://www.crunchbase.com/organization/powerhealth-solutions']",0.25,0.25,0.0,0.0,0.125
Dental practice management software in australia or newzealand,RANZCR: Home,https://www.ranzcr.com/,RANZCR drives optimum health outcomes by leading  training and sustaining our professionals in radiation oncology and clinical radiology. More about the ...,ranzcr,"['Level  9 , 51 Druitt Street Sydney NSW 2000 Australia', 'https://www.ranzcr.com/']","['ranzcr@ranzcr.edu.au', 'https://www.crunchbase.com/organization/royal-australian-and-new-zealand-college-of-radiology']","['+61 2 9802 2074', 'https://www.ranzcr.com/college/member-rewards']",None,"[['Lance James Lawler', 'Director'], 'https://app.avention.com/company/f1752665-d3be-3a82-ad31-14336f81db75#report/company_summary']","['Associations and Organizations', 'https://app.avention.com/company/f1752665-d3be-3a82-ad31-14336f81db75#report/company_summary']","['10 April 2019', 'https://opencorporates.com/companies/nz/7394276']","['12M', 'https://app.avention.com/company/f1752665-d3be-3a82-ad31-14336f81db75#report/company_summary']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/royal-australian-and-new-zealand-college-of-radiology']","['60', 'https://app.avention.com/company/f1752665-d3be-3a82-ad31-14336f81db75#report/company_summary']","['Private Parent, Headquarters', 'https://app.avention.com/company/f1752665-d3be-3a82-ad31-14336f81db75#report/company_summary']",0.625,0.25,0.375,0.0,0.3125
Risk management software australia,Cammsrisk,https://cammsrisk.com/,An Enterprise Risk Management (ERM) software solution that is easy to use and trusted globally. Business risk assessment tools.Try our FREE Trial now.,cammsrisk,None,"['information@cammsgroup.com', 'https://www.crunchbase.com/organization/camms']","['+61 8 8212 5188', 'https://www.crunchbase.com/organization/camms']",None,"[['Adam Collins ', 'Chief Product Officer_CAMMS'], 'from linkedin search google']","[['Business IntelligenceConsultingRisk Management'], 'https://www.crunchbase.com/organization/camms']","['1996', 'https://www.crunchbase.com/organization/camms']",None,None,"[' Adelaide, South Australia, Australia', 'https://www.crunchbase.com/organization/camms']",None,"['Private', 'https://www.crunchbase.com/organization/camms']",0.0,0.0,0.0,0.0,0.0
Workplace risk software in australia or newzealand,Google Books,https://books.google.com/,Search the world's most comprehensive index of full-text books. My library · PublishersAboutPrivacyTermsHelp.,books.google,None,"['info@digpublish.com', 'https://www.crunchbase.com/organization/digpublish']","['+61395977894', 'https://books.google.com.au/books?id=yNFN1OpnkBkC&redir_esc=y&hl=en']","['google using google', 'google services', 'google books digital content', 'google books', 'google', 'copyright google content', 'google books respect', 'google books facts', 'google books link', 'google books history']","[['Mark Tanner ', 'Co_Founder_ COO'], 'from linkedin search google']","[['AdvertisingE-CommerceEBooksPublishing'], 'https://www.crunchbase.com/organization/digpublish']","['2008', 'https://www.crunchbase.com/organization/digpublish']",None,None,"[' Brisbane, Queensland, Australia', 'https://www.crunchbase.com/organization/digpublish']",None,"['Private', 'https://www.crunchbase.com/organization/digpublish']",0.0,0.25,0.0,0.0,0.0625
Environmental risk software in australia or newzealand,Accenture Newsroom,https://newsroom.accenture.com/,Accenture Newsroom - the official site for press releases  photos  video  audio  pr contact information  presskits and more.,newsroom.accenture,"['International House, Level 6/3 Sussex St, Barangaroo NSW 2000', ['Accenture, address', 'knowledge_panel']]","['velislava.lefevre@accenture.com', 'https://newsroom.accenture.com/news/accenture-collaborates-with-oracle-to-transform-nickel-banks-finance-functions.htm']","['+61417 100 191', 'https://newsroom.accenture.com/news/telstra-and-accenture-team-up-to-launch-cloud-computing-services.htm']","['accenture research earnings infographic accenture', 'new accenture research', 'accenture managing partner', 'accenture global managing partner', 'accenture expertise', 'accenture professionals', 'accenture research', 'accenture team', 'accenture newsroom', 'accenture technology ventures']","[['Annie Haggar ', 'Global Managed Security Legal ..._LinkedIn'], 'from linkedin search google']","['IT - Software, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
risk management programs australia OR new zealand,ANZIIF: Australian and New Zealand Institute of Insurance and ...,https://anziif.com/,ANZIIF (The Australian and New Zealand Institute of Insurance and Finance) is the leading provider of education  training and professional development ...,anziif,"['Level  7 , 628 Bourke Street, Melbourne, VIC 3000 Australia', 'https://anziif.com/about/the-journal']",None,"['+613 9613 7200', 'https://anziif.com/education/buint2020']","['john lyon anziif insurance', 'new zealand insurance industry', 'john lyon anziif insurance industry qualifications', 'new zealand insurance professionals', 'anziif qualifications', 'anziif membership', 'anziif products', 'new zealand insurance industry awards', 'vero insurance new zealand', 'anziif diploma']","[['Fiona Hayes-St Clair', 'Director'], 'https://app.avention.com/company/22335e78-99e5-33e8-b9fe-7595d3e33726#report/company_summary']","['Insurance Agents', 'https://app.avention.com/company/22335e78-99e5-33e8-b9fe-7595d3e33726#report/company_summary']",None,"['6.7M', 'https://app.avention.com/company/22335e78-99e5-33e8-b9fe-7595d3e33726#report/company_summary']",None,None,"['58', 'https://app.avention.com/company/22335e78-99e5-33e8-b9fe-7595d3e33726#report/company_summary']","['Private Parent, Headquarters', 'https://app.avention.com/company/22335e78-99e5-33e8-b9fe-7595d3e33726#report/company_summary']",1.0,0.25,0.0,0.0,0.3125
Infrastructure management software in australia or newzealand,IT Brief Australia - Technology news for Australia's largest ...,https://itbrief.com.au/,IT Brief is a live news website and weekly email newsletter dedicated to IT Managers & CIO's at large enterprise and government organisations throughout ...,itbrief,"['Po Box 47 -318, Ponsonby, Auckland 1144 New Zealand', 'https://itbrief.com.au/our-terms']","['info@techday.com', 'https://www.crunchbase.com/organization/techday']","['+61 2 9060 6405', 'https://www.hyland.com/en-AU/explore/gartner-magic-quadrant-for-content-services-platforms']","['businesses technology', 'strong technology services company', 'ai technologies', 'new business models', 'new business requirements', 'internal business organisations', 'new technologies', 'digital business', 'customer service', 'business applications']","[['Sarah McCann-Bartlett', 'CEO'], 'https://itbrief.com.au/story/new-chief-executive-named-for-australian-hr-institute']","[['News'], 'https://www.crunchbase.com/organization/techday']","['Jul 2006', 'https://www.crunchbase.com/organization/techday']",None,None,"[' Ponsonby, Auckland, New Zealand', 'https://www.crunchbase.com/organization/techday']",None,"['Private', 'https://www.crunchbase.com/organization/techday']",0.25,0.25,0.0,0.0,0.125
Infrastructure management software in australia or newzealand,New Forests,https://newforests.com.au/,New Forests is a sustainable real assets investment manager offering ... June 2017. Australia New Zealand Forest Fund 3 closed with AUD 873 million in capital ...,newforests,"['SE 904 ST KILDA ROAD TOWERS 1 QUEENS RD MELBOURNE, VICTORIA, 3004 Australia', 'https://www.dnb.com/business-directory/company-profiles.new_forests_timber_products_pty_limited.f1c22c4e1bd21c80d3aacece1130e3b3.html']","['info@newforests.com.au', 'https://www.crunchbase.com/organization/new-forests-2']","['+61 436 675 880', 'https://newforests.com.au/']","['new forests new forests', 'new forests new forests timber products', 'new forests us privacy notice new forests', 'forestry investment management new forests', 'new forests australia new zealand forest fund', 'investment manager new forests', 'new forests aratu forests limited', 'carbon forestry new forests', 'new forests asia', 'international forestry investment manager new forests']","[['David Brand', 'Managing_Director'], 'https://newforests.com.au/service/executive-team/']","[['BankingFinancial ServicesForestryImpact Investing'], 'https://www.crunchbase.com/organization/new-forests-2']","['Jul 2005', 'https://www.crunchbase.com/organization/new-forests-2']","['$5.31 million USD', 'https://www.dnb.com/business-directory/company-profiles.new_forests_timber_products_pty_limited.f1c22c4e1bd21c80d3aacece1130e3b3.html']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/new-forests-2']",None,"['Private', 'https://www.crunchbase.com/organization/new-forests-2']",0.375,0.25,0.75,0.0,0.34375
Governance risk software in australia or newzealand,Complispace | Governance_ Risk_ Compliance and Policy ...,https://www.complispace.com.au/,CompliSpace is a leading provider of Governance  Risk and Compliance (GRC) programs and services across a range of industry groups.,complispace,"['L 4 179 ELIZABETH ST SYDNEY, NEW SOUTH WALES, 2000 Australia', 'https://www.dnb.com/business-directory/company-profiles.complispace_holdings_pty_ltd.a97d1263f996ef2cc4c60c1f4d2a347f.html']","['info@protecht.com.au', 'https://www.crunchbase.com/organization/protecht']","['+61-292996105', 'https://www.dnb.com/business-directory/company-profiles.complispace_holdings_pty_ltd.a97d1263f996ef2cc4c60c1f4d2a347f.html']","['financial risk', 'financial services organisations', 'non-financial risks', 'financial services businesses', 'non-financial risk report', 'compliance risks', 'traditional financial risks', 'identified business risks', 'material non-financial risks', 'emerging non-financial risks']","[['David Griffiths', 'CEO'], 'https://www.complispace.com.au/our-team-3/co-founders/']","[['Risk ManagementSoftware'], 'https://www.crunchbase.com/organization/protecht']","['1999', 'https://www.crunchbase.com/organization/protecht']","['13M', 'https://app.avention.com/company/fb3c2f10-6c47-304c-a876-5aeb62e2dec8#report/company_summary']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/protecht']","['70', 'https://app.avention.com/company/fb3c2f10-6c47-304c-a876-5aeb62e2dec8#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/protecht']",0.5625,0.1875,0.5,0.0,0.3125
Hazard management companies in australia or newzealand,Going Further in Managing Risk | Greencap Australia & New ...,https://www.greencap.com.au/,Greencap are experts in the management of Health & Safety  Property Risk and Environmental Risk. Partnering with our team of consultants  engineers and ...,greencap,"['Level 1 / 677 High Street, Kew East, VIC 3102', 'https://www.greencap.com.au/privacy-policies']","['hello@green-hat.com.au', 'https://www.crunchbase.com/organization/greenhat']","['+613 9896 8600', 'https://www.greencap.com.au/']","['greencap greencap services', 'removal environmental risk greencap', 'risk management requirements', 'business risk management', 'water system risk management', 'risk management solutions', 'risk management issues', 'appropriate risk management', 'property risk management solutions', 'risk management measures']","[['Matthew Barberson ', 'Team Manager East_Greencap'], 'None']","[['Marketing'], 'https://www.crunchbase.com/organization/greenhat']","['2001', 'https://www.crunchbase.com/organization/greenhat']","['36M', 'https://app.avention.com/company/91e73c6d-9021-3fb2-a374-a57236f6e63c#report/company_summary']",None,"[' Hawthorn, Victoria, Australia', 'https://www.crunchbase.com/organization/greenhat']","['285', 'https://app.avention.com/company/91e73c6d-9021-3fb2-a374-a57236f6e63c#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/greenhat']",1.0,0.25,0.5,0.0,0.4375
Regulatory compliance software in australia or newzealand,In Compliance Magazine,https://incompliancemag.com/,In Compliance strives to provide electronics engineers with the current information they need to design  test  and produce compliant products for the betterment ...,incompliancemag,None,"['mcassidy@mcglobalaccess.com', 'https://incompliancemag.com/article/international-wireless-registrations/']","['+61-7381-3340', 'https://incompliancemag.com/article/utilization-of-skin-effect-for-intra-plane-z-axis-partitioning-in-circuit-boards/']","['esd standard test methods', 'immunity test systems', 'esd test criteria', 'system level test results', 'electronic test equipment', 'test time', 'overall measurement test time', 'ground field test', 'electrical test', 'test voltages']",None,"['Services - professional, scientific, and technical, Manufacturing', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
NDIS claim payment software in australia or newzealand,Deloitte US | Audit_ Consulting_ Advisory_ and Tax Services,https://www2.deloitte.com/us/en.html,Deloitte provides industry-leading audit  consulting  tax  and advisory services ... Please see www.deloitte.com/about to learn more about our global network of ...,www2.deloitte,"['Level  9 , Grosvenor Place  225 George Street  Sydney NSW Australia 2000', 'https://www2.deloitte.com/au/en/profiles/ian-thatcher.html']","['agrimstone@deloitte.co.uk', 'https://www2.deloitte.com/global/en/pages/finance/solutions/restructuring.html?icid=top_restructuring']","['+61 2 9322 7640', 'https://www2.deloitte.com/global/en/services/finance.html?icid=top_finance']","['energy transition deloitte technology', 'deloitte us', 'smart cities deloitte', 'deloitte us leadership', 'deloitte consulting us', 'fintech companies deloitte', 'deloitte clients', 'deloitte', 'deloitte global', 'community solar growth deloitte']","[['Richard Deutsch', 'CEO'], 'https://www2.deloitte.com/au/en/profiles/richard-deutsch.html']","[['ConsultingManagement ConsultingProfessional ServicesRisk Management'], 'https://www.crunchbase.com/organization/deloitte-australia']",None,None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/deloitte-australia']",None,"['Private', 'https://www.crunchbase.com/organization/deloitte-australia']",0.25,0.25,0.0,0.0,0.125
Incident response software in australia or newzealand,Secureworks: Managed Security Services_ MDR & Security ...,https://www.secureworks.com/,Secureworks provides threat intelligence-driven security solutions for organizations to prevent  detect  rapidly respond and predict cyberattacks.,secureworks,"['14 Aquatic Dr, Frenchs Forest NSW 2086', ['SecureWorks, address', 'knowledge_panel']]","['privacy@secureworks.com', 'https://www.secureworks.com/privacy-policy']","['+61-1800-876-991', 'https://www.secureworks.com/contact/urgent-response']","['security threats', 'iot security threats', 'security organizations', 'security data', 'network security services', 'information security teams', 'information security operations', 'network security', 'information security policies', 'data security solutions']","[['Mike Cote', 'CEO'], 'https://www.secureworks.com/about/leadership']","['Investigation and Security Services', 'https://app.avention.com/company/f2c8a8c1-6e16-32db-b684-2528a1f029ca#report/company_summary']",None,"['8.5M', 'https://app.avention.com/company/f2c8a8c1-6e16-32db-b684-2528a1f029ca#report/company_summary']",None,None,"['31', 'https://app.avention.com/company/f2c8a8c1-6e16-32db-b684-2528a1f029ca#report/company_summary']","['Private Subsidiary', 'https://app.avention.com/company/f2c8a8c1-6e16-32db-b684-2528a1f029ca#report/company_summary']",0.75,0.25,0.375,0.0,0.34375
Governance risk software in australia or newzealand,Yahoo Finance – stock market live_ quotes_ business & finance ...,https://nz.finance.yahoo.com/,NZ business & finance news  stock quotes  currency information and blogs.,nz.finance.yahoo,"['W L 4 8 Central Ave Eveleigh, NEW SOUTH WALES, 2015 Australia', 'https://www.dnb.com/business-directory/company-profiles.yahoo!_australia__nz_(holdings)_pty_limited.92624b1dcdccbd19.html']","['editorial-team@simplywallst.com', 'https://nz.finance.yahoo.com/news/think-buying-kathmandu-holdings-limited-203235150.html']","['+61 3 9639 6036', 'https://nz.finance.yahoo.com/quote/MSB.AX?p=MSB.AX']","['share prices', 'share price return new york', 'long term share price weakness', 'share price climb', 'share price volatility', 'stock prices', 'kathmandu holdings limited', 'kathmandu holdings stock', 'company insiders', 'tauranga limited']","[['James Lane ', 'Deputy Editor_AAP FactCheck ...'], 'None']","[['BankingFinanceFinancial ServicesWealth Management'], 'https://www.crunchbase.com/organization/anz']","['Mar 2, 1835', 'https://www.crunchbase.com/organization/anz']","['$22.71 million USD', 'https://www.dnb.com/business-directory/company-profiles.yahoo!_australia__nz_(holdings)_pty_limited.92624b1dcdccbd19.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/anz']",None,"['Public', 'https://www.crunchbase.com/organization/anz']",0.0,0.25,0.375,0.0,0.15625
